,Total Alunos,ABANDONO (NENHUMA INTEGRALIZAÇÃO),ABANDONO (NENHUMA MATRÍCULA),CONCLUÍDO,DECURSO DE PRAZO MÁXIMO P/ CONCLUSÃO DE CURSO,EFETIVAÇÃO DE NOVO CADASTRO,RAI - REPROVADO PELA 3 VEZ EM COMPONENTE OBRIGATÓRIO,SOLICITAÇÃO ESPONTÂNEA
VESTIBULAR,120,1.67,21.67,68.33,1.67,2.5,1.67,2.5
PROGRAMA DE AVALIAÇÃO SERIADA,106,2.83,15.09,74.52,0.0,2.83,1.89,2.83
SISU-SISTEMA DE SELEÇÃO UNIFICADA,67,4.48,13.43,79.1,0.0,0.0,2.99,0.0
Mudança de Curso,6,0.0,50.0,50.0,0.0,0.0,0.0,0.0
ENEM - UnB,5,20.0,20.0,40.0,0.0,0.0,20.0,0.0
PORTADOR DE DIPLOMA DE CURSO SUPERIOR,3,0.0,33.33,66.67,0.0,0.0,0.0,0.0
PORTADOR DE CURSO SUPERIOR,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0
"ENEM - UnB,",1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Convênio-Int,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0
DUPLA DIPLOMAÇÃO,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
CONVÊNIO CULTURAL-PEC-G,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Total,312,2.88,18.59,71.78999999999999,0.64,1.92,2.24,1.92
